"","company","city","state","companysize","industy","statistics","python","machine learning","engineering","computer science","r","mathematics","economics","sql","data mining","java","operations research","physics","hive","sas","applied mathematics","clustering","econometrics","hadoop","math","genetic information","spark","algorithms","data science","deep learning","development","marketing","matlab","statistical analysis","statistical modeling","modeling","predictive modeling"
"73","Ibotta","Denver","CO","201-500","Computer Hardware & Software",0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0
"74","RELX Group","Raleigh","NC","10000+","Publishing",0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"75","Brine Group Staffing Solutions","Walpole","MA","1-50","Staffing & Outsourcing",0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"76","Brainjolt",NA,NA,"1-50","Publishing",1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"77","ReqRoute,Inc","Dallas","TX","1-50","Staffing & Outsourcing",1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0
"78","Simpli FI","Fort Worth","TX","51-200","Advertising & Marketing",0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0
"79","Supercell","San Francisco","CA","51-200","Video Games",0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
"80","Wheelhouse (California)","San Francisco","CA","1-50","Hotels, Motels, & Resorts",1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"81","Qventus","Mountain View","CA","1-50","Enterprise Software & Network Solutions",0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"82","Munich RE","Arapahoe","CO","5001-10000","Insurance Carriers",1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
"83","Booz Allen Hamilton","Tampa","FL","10000+","Consulting",1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"84","Workday","Pleasanton","CA","5001-10000","Computer Hardware & Software",1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0
"85","Franklin Templeton Investments",NA,NA,"5001-10000","Investment Banking & Asset Management",1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0
"86","Showtime Networks","New York","NY","501-1000","TV Broadcast & Cable Networks",1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1
"87","Ford Motor Company","Dearborn","MI","10000+","Transportation Equipment Manufacturing",0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
"88","Galvanize","Austin","TX","201-500","Education Training Services",1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0
